error,error_type,time,memory
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld %lld"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~~~~~ ",WA,0.079433708,780
" ‘return’ with no value, in function returning non-void return; ^~~~~~ aplusb.c:2:5: note: declared here int main(){ ^~~~ aplusb.c:4:5: ",WA,0.075725064,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld"",&amp;n); ^~~~~~~~~~~~~~~~ aplusb.c:6:9: ",WA,0.075725064,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld %lld"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~~~~~ ",WA,0.075725064,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld"",&amp;n); ^~~~~~~~~~~~~~~~ aplusb.c:6:9: ",WA,0.07961412,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%lld %lld"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~~~~~ ",WA,0.07961412,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:9:5: ",AC,0.084016112,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~ ",AC,0.084016112,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ aplusb.c:9:9: ",WA,0.098588123,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~ ",WA,0.098588123,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:7:1: ",AC,0.084142949,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:8:1: ",AC,0.084142949,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",AC,0.084142949,780
" implicit declaration of function ‘scanf’ [-Wimplicit-function-declaration] n= scanf(""%d"",n); ^~~~~ aplusb.c:4:7: ",RTE,0.725758634,780
 incompatible implicit declaration of built-in function ‘scanf’ aplusb.c:4:7: note: include ‘&lt;stdio.h&gt;’ or provide a declaration of ‘scanf’ aplusb.c:4:15: ,RTE,0.725758634,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] n= scanf(""%d"",n); ~^ aplusb.c:7:22: ",RTE,0.725758634,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] int a =scanf(""%d"",a); ~^ aplusb.c:8:21: ",RTE,0.725758634,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] int b=scanf(""%d"",b); ~^ aplusb.c:9:7: ",RTE,0.725758634,780
" implicit declaration of function ‘printf’ [-Wimplicit-function-declaration] printf(""%d"",(a+b)); ^~~~~~ aplusb.c:9:7: ",RTE,0.725758634,780
 incompatible implicit declaration of built-in function ‘printf’ aplusb.c:9:7: note: include ‘&lt;stdio.h&gt;’ or provide a declaration of ‘printf’ aplusb.c:4:5: ,RTE,0.725758634,780
" ‘n’ is used uninitialized in this function [-Wuninitialized] n= scanf(""%d"",n); ~^~~~~~~~~~~~~~~ aplusb.c:8:11: ",RTE,0.725758634,780
" ‘b’ may be used uninitialized in this function [-Wmaybe-uninitialized] int b=scanf(""%d"",b); ^ aplusb.c:7:11: ",RTE,0.725758634,780
" ‘a’ may be used uninitialized in this function [-Wmaybe-uninitialized] int a =scanf(""%d"",a); ^ ",RTE,0.725758634,780
" implicit declaration of function ‘scanf’ [-Wimplicit-function-declaration] n= scanf(""%d"",n); ^~~~~ aplusb.c:4:7: ",RTE,0.702102798,780
 incompatible implicit declaration of built-in function ‘scanf’ aplusb.c:4:7: note: include ‘&lt;stdio.h&gt;’ or provide a declaration of ‘scanf’ aplusb.c:4:15: ,RTE,0.702102798,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] n= scanf(""%d"",n); ~^ aplusb.c:7:22: ",RTE,0.702102798,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] int a =scanf(""%d"",a); ~^ aplusb.c:8:21: ",RTE,0.702102798,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] int b=scanf(""%d"",b); ~^ aplusb.c:9:7: ",RTE,0.702102798,780
" implicit declaration of function ‘printf’ [-Wimplicit-function-declaration] printf(""%d"",(a+b)); ^~~~~~ aplusb.c:9:7: ",RTE,0.702102798,780
 incompatible implicit declaration of built-in function ‘printf’ aplusb.c:9:7: note: include ‘&lt;stdio.h&gt;’ or provide a declaration of ‘printf’ aplusb.c:4:5: ,RTE,0.702102798,780
" ‘n’ is used uninitialized in this function [-Wuninitialized] n= scanf(""%d"",n); ~^~~~~~~~~~~~~~~ aplusb.c:8:11: ",RTE,0.702102798,780
" ‘b’ may be used uninitialized in this function [-Wmaybe-uninitialized] int b=scanf(""%d"",b); ^ aplusb.c:7:11: ",RTE,0.702102798,780
" ‘a’ may be used uninitialized in this function [-Wmaybe-uninitialized] int a =scanf(""%d"",a); ^ ",RTE,0.702102798,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ aplusb.c:9:9: ",WA,0.082413698,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:10:9: ",WA,0.082413698,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,0.082413698,780
 return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:5:5: ,WA,0.08264749,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:8:8: ",WA,0.08264749,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~ ",WA,0.08264749,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ aplusb.c:9:9: ",WA,0.083240578,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:10:9: ",WA,0.083240578,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,0.083240578,780
 return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:12:12: ,WA,0.085278506,780
" ‘return’ with a value, in function returning void return 0; ^ aplusb.c:2:6: note: declared here void main() ^~~~ aplusb.c:5:5: ",WA,0.085278506,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:8:8: ",WA,0.085278506,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~ ",WA,0.085278506,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] n= scanf(""%d"",n); ~^ aplusb.c:9:17: ",RTE,0.756909515,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] a=scanf(""%d"",a); ~^ aplusb.c:11:17: ",RTE,0.756909515,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] b=scanf(""%d"",b); ~^ aplusb.c:11:8: ",RTE,0.756909515,780
" ‘b’ may be used uninitialized in this function [-Wmaybe-uninitialized] b=scanf(""%d"",b); ~^~~~~~~~~~~~~~ aplusb.c:9:8: ",RTE,0.756909515,780
" ‘a’ may be used uninitialized in this function [-Wmaybe-uninitialized] a=scanf(""%d"",a); ~^~~~~~~~~~~~~~ ",RTE,0.756909515,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] n= scanf(""%d"",n); ~^ aplusb.c:9:17: ",RTE,0.799090781,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] a=scanf(""%d"",a); ~^ aplusb.c:11:17: ",RTE,0.799090781,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] b=scanf(""%d"",b); ~^ ",RTE,0.799090781,780
 return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:6:13: ,RTE,0.810634521,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] scanf(""%d"",n); ~^ aplusb.c:11:17: ",RTE,0.810634521,780
" format ‘%d’ expects a matching ‘int *’ argument [-Wformat=] scanf(""%d %d,a[i],b[i]""); ~^ aplusb.c:11:20: ",RTE,0.810634521,780
" format ‘%d’ expects a matching ‘int *’ argument [-Wformat=] scanf(""%d %d,a[i],b[i]""); ~^ aplusb.c:6:5: ",RTE,0.810634521,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",n); ^~~~~~~~~~~~~ aplusb.c:11:9: ",RTE,0.810634521,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d,a[i],b[i]""); ^~~~~~~~~~~~~~~~~~~~~~~~ aplusb.c:6:5: ",RTE,0.810634521,780
" ‘n’ is used uninitialized in this function [-Wuninitialized] scanf(""%d"",n); ^~~~~~~~~~~~~ ",RTE,0.810634521,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:11:10: ",WA,0.015321018,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,0.015321018,780
 return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:11:17: ,RTE,0.784205017,780
" format ‘%d’ expects a matching ‘int *’ argument [-Wformat=] scanf(""%d %d,&amp;a[i],&amp;b[i]""); ~^ aplusb.c:11:20: ",RTE,0.784205017,780
" format ‘%d’ expects a matching ‘int *’ argument [-Wformat=] scanf(""%d %d,&amp;a[i],&amp;b[i]""); ~^ aplusb.c:6:5: ",RTE,0.784205017,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ",RTE,0.784205017,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d,&amp;a[i],&amp;b[i]""); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",RTE,0.784205017,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:9:9: ",WA,0.096053592,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:11:9: ",WA,0.096053592,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,0.096053592,780
 return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:11:17: ,RTE,0.736909233,780
" format ‘%d’ expects a matching ‘int *’ argument [-Wformat=] scanf(""%d %d,&amp;a[i],&amp;b[i]""); ~^ aplusb.c:11:20: ",RTE,0.736909233,780
" format ‘%d’ expects a matching ‘int *’ argument [-Wformat=] scanf(""%d %d,&amp;a[i],&amp;b[i]""); ~^ aplusb.c:6:5: ",RTE,0.736909233,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ",RTE,0.736909233,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d,&amp;a[i],&amp;b[i]""); ^~~~~~~~~~~~~~~~~~~~~~~~~~ #‘target_mem_ref’ not supported by expression#’aplusb.c:12:15: ",RTE,0.736909233,780
 may be used uninitialized in this function [-Wmaybe-uninitialized] k[i]=a[i]+b[i]; ~^~~ #‘target_mem_ref’ not supported by expression#’aplusb.c:12:20: ,RTE,0.736909233,780
 may be used uninitialized in this function [-Wmaybe-uninitialized] k[i]=a[i]+b[i]; ~^~~ ,RTE,0.736909233,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:11:10: ",WA,0.012432942,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,0.012432942,780
 return type of ‘main’ is not ‘int’ [-Wmain] void main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:6:5: ,RTE,0.291079104,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ",RTE,0.291079104,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a[i],&amp;b[i]); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",RTE,0.291079104,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ",RTE,0.292890284,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a[i],&amp;b[i]); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",RTE,0.292890284,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;num); ^~~~~~~~~~~~~~~~ ",RTE,0.271786318,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;num); ^~~~~~~~~~~~~~~~ ",RTE,0.263553923,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;t); ^~~~~~~~~~~~~~ encoding.c:7:9: ",WA,0.009020538,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ encoding.c:8:9: ",WA,0.009020538,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%s"",str); ^~~~~~~~~~~~~~~ ",WA,0.009020538,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ",WA,0.091251461,2700
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a[i],&amp;b[i]); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",WA,0.091251461,2700
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;num); ^~~~~~~~~~~~~~~~ ",WA,0.006359444,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;num); ^~~~~~~~~~~~~~~~ ",WA,0.004642299,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,0.004486585,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ",WA,0.07837449,2700
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a[i],&amp;b[i]); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",WA,0.07837449,2700
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;num); ^~~~~~~~~~~~~~~~ ",WA,0.004313167,780
" format ‘%d’ expects argument of type ‘int *’, but argument 2 has type ‘int’ [-Wformat=] scanf(""%d"",n); ~^ fibsum.c:8:5: ",RTE,0.265303109,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",n); ^~~~~~~~~~~~~ fibsum.c:8:5: ",RTE,0.265303109,780
" ‘n’ is used uninitialized in this function [-Wuninitialized] scanf(""%d"",n); ^~~~~~~~~~~~~ ",RTE,0.265303109,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ",WA,0.066148863,2700
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a[i],&amp;b[i]); ^~~~~~~~~~~~~~~~~~~~~~~~~~ ",WA,0.066148863,2700
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,0.005560455,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:11:9: ",AC,0.165424015,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d %d"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~~ ",AC,0.165424015,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",AC,0.003881707,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:11:10: ",WA,0.013646744,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",WA,0.013646744,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,0.003671617,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;number); ^~~~~~~~~~~~~~~~~~~ ",WA,0.003555541,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",AC,0.004063572,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ aplusb.c:9:9: ",AC,0.106831959,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;a); ^~~~~~~~~~~~~~ aplusb.c:11:10: ",AC,0.106831959,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;b); ^~~~~~~~~~~~~~ ",AC,0.106831959,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,0.005001358,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;number); ^~~~~~~~~~~~~~~~~~~ ",WA,0.007636868,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,0.004969023,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;number); ^~~~~~~~~~~~~~~~~~~ ",WA,0.003846836,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,0.00368453,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,0.003358269,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,0.004182569,780
No errors,WA,0.00394583,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,0.003830762,780
No errors,WA,0.003724617,780
No errors,WA,0.003410577,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,0.004192727,780
 comparison of constant ‘41’ with boolean expression is always true [-Wbool-compare] for(i=2;0&lt;n&lt;41;i++) ^ fibsum.c:6:14: ,TLE,1.011173501,780
 comparisons like ‘X&lt;=Y&lt;=Z’ do not have their mathematical meaning [-Wparentheses] for(i=2;0&lt;n&lt;41;i++) ~^~ fibsum.c:5:5: ,TLE,1.011173501,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",TLE,1.011173501,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d"",&amp;n); ^~~~~~~~~~~~~~ ",WA,0.004151447,780
 return type defaults to ‘int’ [-Wimplicit-int] main() ^~~~ aplusb.c: In function ‘main’: aplusb.c:6:5: ,WA,0.011739933,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d%d"",&amp;a,&amp;b); ^~~~~~~~~~~~~~~~~~~ ",WA,0.011739933,780
" ignoring return value of ‘scanf’, declared with attribute warn_unused_result [-Wunused-result] scanf(""%d\n"", &amp;n); ^~~~~~~~~~~~~~~~~ ",WA,0.004603472,780
